SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.98588 48.056 78.588 56.409 59.606 -0.72379 0.040902
0.98576 47.936 78.827 56.705 59.675 -0.71077 0.043223
0.98554 47.814 79.133 57.003 59.74 -0.70764 0.045452
0.98526 47.695 79.484 57.295 59.798 -0.71252 0.047425
0.98496 47.583 79.856 57.573 59.849 -0.72313 0.04903
0.98468 47.477 80.223 57.831 59.89 -0.73703 0.050225
0.98444 47.375 80.565 58.063 59.921 -0.75186 0.051038
0.98425 47.274 80.863 58.267 59.941 -0.76556 0.051575
0.98414 47.17 81.103 58.439 59.951 -0.77657 0.052006
0.98408 47.06 81.279 58.579 59.952 -0.78391 0.052554
0.98409 46.943 81.39 58.689 59.944 -0.78729 0.053476
0.98413 46.818 81.441 58.77 59.929 -0.78707 0.055039
0.98418 46.687 81.443 58.827 59.909 -0.78418 0.057495
0.98423 46.553 81.409 58.865 59.885 -0.77997 0.061055
0.98426 46.422 81.356 58.888 59.859 -0.77602 0.065869
0.98424 46.3 81.3 58.9 59.832 -0.77397 0.072007
0.98416 46.195 81.253 58.907 59.805 -0.77523 0.079443
0.98403 46.112 81.225 58.911 59.78 -0.78089 0.088054
0.98384 46.06 81.222 58.915 59.757 -0.79146 0.097618
0.98361 46.044 81.244 58.919 59.738 -0.80687 0.10782
0.98335 46.069 81.284 58.923 59.723 -0.82639 0.11829
0.98308 46.139 81.334 58.925 59.713 -0.84867 0.12859
0.98284 46.257 81.38 58.924 59.708 -0.87188 0.13827
0.98264 46.421 81.41 58.916 59.711 -0.89383 0.14689
0.98251 46.629 81.412 58.9 59.72 -0.91221 0.15403
0.98247 46.879 81.376 58.871 59.737 -0.92479 0.15936
0.98253 47.165 81.298 58.83 59.763 -0.92967 0.16263
0.98269 47.48 81.177 58.776 59.797 -0.92545 0.1637
0.98295 47.818 81.019 58.709 59.839 -0.9114 0.16255
0.98329 48.172 80.834 58.631 59.889 -0.88757 0.15928
0.98369 48.536 80.635 58.547 59.946 -0.85483 0.15413
0.98413 48.905 80.438 58.461 60.009 -0.81479 0.14743
0.98457 49.274 80.259 58.377 60.075 -0.76972 0.13957
0.985 49.642 80.114 58.304 60.142 -0.72238 0.13104
0.98537 50.008 80.015 58.245 60.208 -0.67581 0.1223
0.98568 50.37 79.971 58.206 60.271 -0.63305 0.11383
0.9859 50.729 79.984 58.192 60.327 -0.59695 0.10606
0.98604 51.086 80.054 58.207 60.375 -0.5699 0.09933
0.98608 51.44 80.173 58.251 60.413 -0.55367 0.093886
0.98604 51.792 80.328 58.324 60.44 -0.54924 0.089863
0.98592 52.138 80.503 58.426 60.455 -0.55675 0.087267
0.98575 52.476 80.679 58.552 60.458 -0.57548 0.08599
0.98555 52.804 80.836 58.699 60.449 -0.60393 0.085816
0.98533 53.115 80.954 58.86 60.431 -0.63994 0.086447
0.98512 53.406 81.018 59.03 60.404 -0.68086 0.08753
0.98493 53.67 81.014 59.201 60.372 -0.72377 0.088691
0.98477 53.903 80.936 59.369 60.336 -0.7657 0.089568
0.98465 54.099 80.784 59.527 60.3 -0.80388 0.08985
0.98458 54.256 80.562 59.67 60.265 -0.83592 0.089301
0.98454 54.37 80.282 59.796 60.234 -0.85998 0.087787
0.98453 54.441 79.957 59.901 60.208 -0.87491 0.085292
0.98453 54.469 79.605 59.984 60.189 -0.88026 0.081916
0.98453 54.456 79.242 60.045 60.178 -0.87637 0.077877
0.9845 54.407 78.884 60.084 60.174 -0.86421 0.073489
0.98445 54.328 78.543 60.104 60.177 -0.84535 0.069138
0.98435 54.226 78.229 60.106 60.188 -0.82177 0.065249
0.9842 54.107 77.947 60.094 60.204 -0.79568 0.06225
0.984 53.98 77.696 60.07 60.226 -0.76936 0.060528
0.98375 53.854 77.474 60.038 60.253 -0.74491 0.060399
0.98345 53.734 77.277 59.999 60.283 -0.72412 0.062069
0.98314 53.628 77.099 59.958 60.315 -0.70833 0.065614
0.98281 53.54 76.936 59.915 60.35 -0.69827 0.070966
0.98251 53.474 76.786 59.873 60.386 -0.69406 0.077908
0.98225 53.43 76.653 59.833 60.422 -0.6952 0.086085
0.98205 53.409 76.543 59.797 60.458 -0.7006 0.09503
0.98194 53.408 76.464 59.764 60.494 -0.70868 0.10419
0.98192 53.422 76.43 59.734 60.528 -0.71752 0.11298
0.98201 53.448 76.455 59.706 60.56 -0.72504 0.1208
0.98221 53.479 76.551 59.678 60.587 -0.72916 0.12711
0.9825 53.508 76.727 59.65 60.61 -0.72801 0.13148
0.98287 53.529 76.989 59.617 60.627 -0.72008 0.13359
0.98329 53.537 77.335 59.577 60.637 -0.70438 0.13329
0.98374 53.526 77.757 59.528 60.638 -0.68054 0.1306
0.9842 53.495 78.239 59.466 60.63 -0.64885 0.12571
0.98464 53.441 78.761 59.389 60.612 -0.61029 0.11897
0.98503 53.367 79.3 59.295 60.585 -0.56643 0.11088
0.98536 53.275 79.828 59.183 60.549 -0.51936 0.10203
0.98561 53.171 80.322 59.053 60.506 -0.47151 0.093056
0.98579 53.061 80.758 58.907 60.456 -0.42546 0.084601
0.98588 52.954 81.12 58.746 60.402 -0.38379 0.077263
0.98589 52.856 81.395 58.575 60.346 -0.3488 0.071547
0.98582 52.776 81.578 58.398 60.29 -0.32241 0.067826
0.98569 52.719 81.671 58.221 60.237 -0.30596 0.066319
0.9855 52.691 81.678 58.051 60.19 -0.30013 0.067073
0.98528 52.693 81.61 57.893 60.149 -0.30489 0.069966
0.98504 52.725 81.478 57.753 60.118 -0.31951 0.074723
0.9848 52.785 81.297 57.637 60.097 -0.34266 0.080938
0.98457 52.868 81.078 57.55 60.088 -0.37248 0.088112
0.98436 52.967 80.831 57.494 60.091 -0.40682 0.0957
0.9842 53.074 80.567 57.47 60.108 -0.44338 0.10315
0.98409 53.181 80.29 57.478 60.137 -0.47995 0.10996
0.98403 53.28 80.005 57.515 60.178 -0.51456 0.11569
0.98404 53.364 79.716 57.578 60.231 -0.54568 0.12003
0.98411 53.427 79.427 57.661 60.293 -0.57234 0.1228
0.98423 53.466 79.143 57.758 60.362 -0.59418 0.12397
0.98441 53.478 78.869 57.861 60.435 -0.61146 0.12365
0.98462 53.464 78.614 57.965 60.509 -0.62498 0.12206
0.98487 53.427 78.389 58.061 60.581 -0.63602 0.11956
0.98512 53.369 78.202 58.145 60.646 -0.64608 0.11654
0.98536 53.298 78.067 58.211 60.701 -0.65679 0.11346
0.98558 53.218 77.99 58.255 60.744 -0.66958 0.11075
0.98576 53.137 77.979 58.277 60.771 -0.68557 0.10879
0.98588 53.061 78.036 58.277 60.782 -0.70533 0.10791
0.98592 52.995 78.159 58.256 60.775 -0.72879 0.1083
0.98587 52.944 78.339 58.218 60.752 -0.75512 0.11004
0.98572 52.909 78.564 58.168 60.715 -0.78278 0.11308
0.98548 52.891 78.816 58.112 60.666 -0.80957 0.11723
0.98514 52.889 79.075 58.057 60.609 -0.83279 0.12218
0.98472 52.898 79.32 58.009 60.548 -0.84943 0.12754
0.98423 52.915 79.528 57.977 60.489 -0.85646 0.13285
0.98369 52.932 79.681 57.966 60.436 -0.85109 0.13762
0.98314 52.945 79.762 57.983 60.393 -0.83105 0.14139
0.98259 52.947 79.763 58.032 60.364 -0.79487 0.14373
0.98208 52.933 79.683 58.116 60.352 -0.74203 0.14429
0.98163 52.9 79.529 58.239 60.36 -0.67318 0.14284
0.98127 52.846 79.316 58.399 60.387 -0.59011 0.1393
0.98102 52.772 79.07 58.595 60.434 -0.49577 0.13372
0.98088 52.681 78.821 58.825 60.499 -0.39408 0.12628
0.98085 52.575 78.604 59.081 60.579 -0.28977 0.11734
0.98093 52.462 78.458 59.358 60.671 -0.18804 0.10734
0.98109 52.348 78.417 59.648 60.77 -0.094239 0.096834
0.98133 52.238 78.511 59.94 60.872 -0.01348 0.086441
0.98161 52.14 78.76 60.224 60.972 0.049698 0.076789
0.98192 52.058 79.173 60.489 61.064 0.091675 0.068498
0.98223 51.996 79.744 60.724 61.145 0.11002 0.062125
0.98253 51.957 80.452 60.919 61.209 0.1037 0.05814
0.9828 51.941 81.265 61.064 61.254 0.073149 0.056884
0.98305 51.948 82.135 61.149 61.277 0.020281 0.058551
0.98326 51.975 83.009 61.17 61.278 -0.051613 0.063171
0.98345 52.018 83.829 61.121 61.256 -0.13807 0.070605
